,crime,neighborhood,count
35,AUTO THEFT,Old Fourth Ward,1017
34,AUTO THEFT,Sylvan Hills,1030
33,LARCENY-NON VEHICLE,Perkerson,1036
32,LARCENY-FROM VEHICLE,Morningside/Lenox Park,1061
31,BURGLARY-RESIDENCE,Grove Park,1072
30,LARCENY-FROM VEHICLE,Sweet Auburn,1072
29,LARCENY-FROM VEHICLE,Mechanicsville,1073
28,AGG ASSAULT,Downtown,1081
27,AUTO THEFT,West End,1089
26,BURGLARY-RESIDENCE,Pittsburgh,1095
25,LARCENY-FROM VEHICLE,Greenbriar,1120
24,ROBBERY-PEDESTRIAN,Downtown,1144
23,LARCENY-FROM VEHICLE,West End,1187
22,LARCENY-NON VEHICLE,Lindbergh/Morosgo,1238
21,LARCENY-NON VEHICLE,Atlantic Station,1263
20,AUTO THEFT,Midtown,1307
19,LARCENY-FROM VEHICLE,Castleberry Hill,1308
18,LARCENY-FROM VEHICLE,Inman Park,1392
17,LARCENY-NON VEHICLE,Greenbriar,1489
16,LARCENY-NON VEHICLE,Vine City,1580
15,LARCENY-FROM VEHICLE,North Buckhead,1655
14,LARCENY-FROM VEHICLE,Virginia Highland,1684
13,LARCENY-FROM VEHICLE,Grant Park,1739
12,LARCENY-NON VEHICLE,North Buckhead,1804
11,AUTO THEFT,Downtown,1843
10,LARCENY-NON VEHICLE,Edgewood,1927
9,LARCENY-FROM VEHICLE,Home Park,1927
8,LARCENY-NON VEHICLE,Old Fourth Ward,2099
7,LARCENY-NON VEHICLE,Berkeley Park,2244
6,LARCENY-NON VEHICLE,West End,2442
5,LARCENY-FROM VEHICLE,Old Fourth Ward,2696
4,LARCENY-NON VEHICLE,Midtown,3202
3,LARCENY-NON VEHICLE,Lenox,3575
2,LARCENY-NON VEHICLE,Downtown,6284
1,LARCENY-FROM VEHICLE,Midtown,7152
0,LARCENY-FROM VEHICLE,Downtown,8371
